Date,Group,TopicType,Url,Title,PageViews,PageViewsLast,MoM,Visitors,MCPCalls,KSCalls,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Drilldown,Trends,Freshness,MSUpdateCycleDays,DaysUntilStale,LastReviewed,LastPublished,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,Average of ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,CSAs
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-search-image-tagging-integration,Set up and connect organizational asset library (OAL) with image tagging to Copilot search,290,244,19%,164,18,25,H,1,15.9%,32.1%,80.5%,29.3%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-3b575c27-2af4-d82f-708c-b462e24f6a08&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-3b575c27-2af4-d82f-708c-b462e24f6a08&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,181-270 days,0,148,2025-09-02,2026-03-28,45,15.5%,29.7%,53.8%,1.0%,0.0%,2%,0%,80%,9/3/2025,kwekua,No,,3b575c27-2af4-d82f-708c-b462e24f6a08,"[""ai-business-solutions""]"
March 2026,Concepts,article,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/convert-declarative-agent,Convert your declarative agent to a custom engine agent,291,201,45%,209,209,287,L,2,23.0%,34.0%,68.9%,40.5%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-f4311009-7a81-06c8-0f29-acdb97aac1b3&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-f4311009-7a81-06c8-0f29-acdb97aac1b3&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180,166,2026-03-24,2026-03-30,30,10.3%,29.2%,50.9%,9.6%,0.0%,2%,0%,69%,7/10/2025,lauragra,No,,f4311009-7a81-06c8-0f29-acdb97aac1b3,"[""ai-business-solutions""]"
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/build-api-plugins-existing-api,Build API plugins from an existing API for Microsoft 365 Copilot,291,218,33%,184,76,88,L,2,26.5%,33.7%,63.6%,36.8%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-8b8cdbdb-7125-40e0-1ea1-61a1607f8054&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-8b8cdbdb-7125-40e0-1ea1-61a1607f8054&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180,148,2026-03-06,2026-03-06,29,10.0%,32.3%,55.3%,2.4%,0.0%,4%,0%,64%,9/16/2024,jasonjoh,No,,8b8cdbdb-7125-40e0-1ea1-61a1607f8054,"[""ai-business-solutions""]"
March 2026,Concepts,overview,https://learn.microsoft.com/en-us/copilot/microsoft-365/cowork/cowork-admin-governance,Manage Copilot Cowork for your organization,293,,Infinity,227,4,52,H,0,2.4%,49.8%,95.6%,36.9%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-426f88bb-547e-502f-8c54-1e49a73cba64&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-426f88bb-547e-502f-8c54-1e49a73cba64&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,0,357,2026-03-30,2026-03-30,0,0.0%,16.0%,82.3%,0.0%,1.7%,3%,0%,95%,3/30/2026,leeclontz,No,,426f88bb-547e-502f-8c54-1e49a73cba64,"[""ai-business-solutions""]"
March 2026,Concepts,overview,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/teams-ai-library,Build custom engine agents with Teams SDK,295,145,103%,211,67,79,L,2,19.3%,38.0%,68.2%,50.2%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-5ac91392-9d47-7b0e-cbf8-2b45285d12bc&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-5ac91392-9d47-7b0e-cbf8-2b45285d12bc&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,180,40,2025-11-18,2025-11-19,47,15.9%,18.0%,39.3%,0.3%,26.4%,1%,0%,68%,5/19/2025,timura,No,,5ac91392-9d47-7b0e-cbf8-2b45285d12bc,"[""ai-business-solutions""]"
March 2026,Concepts,overview,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/overview-typespec,TypeSpec for Microsoft 365 Copilot overview,297,338,-12%,225,246,404,H,0,12.8%,58.2%,77.8%,27.3%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-343ecf7c-8ec6-8a1b-4dde-3aac04ef4147&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-343ecf7c-8ec6-8a1b-4dde-3aac04ef4147&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,181-270 days,180,-21,2025-09-18,2025-11-12,26,8.8%,11.4%,77.8%,2.0%,0.0%,0%,0%,78%,9/22/2025,slevert,No,,343ecf7c-8ec6-8a1b-4dde-3aac04ef4147,"[""ai-business-solutions""]"
March 2026,Concepts,article,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/build-declarative-agents-typespec,Create declarative agents using Microsoft 365 Agents Toolkit and TypeSpec for Microsoft 365 Copilot,300,322,-7%,215,737,940,L,2,24.0%,41.3%,61.9%,37.0%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-93175cab-96ef-ce34-4567-97dd39ba65ff&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-93175cab-96ef-ce34-4567-97dd39ba65ff&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,181-270 days,180,-28,2025-09-11,2026-01-05,58,19.3%,33.7%,44.7%,2.0%,0.3%,5%,0%,62%,5/19/2025,slevert,No,,93175cab-96ef-ce34-4567-97dd39ba65ff,"[""ai-business-solutions""]"
March 2026,Concepts,concept-article,https://learn.microsoft.com/en-us/copilot/microsoft-365/agent-essentials/agent-policies/agent-sideload,Sideload Microsoft Copilot agents at your organization,300,241,24%,198,90,101,L,2,31.3%,35.0%,47.0%,37.7%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-1ecc82c4-7c36-55ba-626f-f2bc34a1db28&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-1ecc82c4-7c36-55ba-626f-f2bc34a1db28&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,180,34,2025-11-12,2026-03-25,59,19.7%,48.7%,29.3%,2.3%,0.0%,3%,0%,47%,11/14/2025,erikre,No,,1ecc82c4-7c36-55ba-626f-f2bc34a1db28,"[""ai-business-solutions""]"
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/copilot/microsoft-365/people-skills-manage-custom-skill,Manage custom skills,303,200,52%,204,13,18,H,0,10.9%,41.6%,77.5%,31.7%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-07049daf-07e7-6134-5a9f-75c0287f470f&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-07049daf-07e7-6134-5a9f-75c0287f470f&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,271-365 days,0,52,2025-05-29,2026-03-28,49,16.2%,25.1%,58.4%,0.0%,0.3%,3%,0%,78%,6/5/2025,kwekua,No,,07049daf-07e7-6134-5a9f-75c0287f470f,"[""ai-business-solutions""]"
March 2026,Concepts,concept-article,https://learn.microsoft.com/en-us/copilot/microsoft-365/people-skills-import-export-skills,Import or export People Skills,315,224,41%,156,6,10,H,1,17.1%,39.7%,84.0%,28.9%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-d5e45bc4-302e-d1ae-567e-5596ab5131f4&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-d5e45bc4-302e-d1ae-567e-5596ab5131f4&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,271-365 days,0,52,2025-05-29,2026-03-28,25,7.9%,46.0%,45.7%,0.3%,0.0%,6%,0%,84%,6/5/2025,kwekua,No,,d5e45bc4-302e-d1ae-567e-5596ab5131f4,"[""ai-business-solutions""]"
